state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage
AK,1,20,2,5,16,2,0,23,"1,737",23,"1,285",23,41,23,4,23,1,23,3,23,0,23,108,23,6,23,6,23,39,23,38,23,2,23,1,23,146,23,0.7397812320092113,23,"1,285","1,737",0.031906614785992216,23,41,"1,285",0.02360391479562464,23,41,"1,737",0.0410958904109589,23,6,146,0.7397260273972602,23,108,146,2022/03/17,,0,22,0,19,1,20,0,19,0,19,2,19,0,19,1,19,0,23,0,22,0,19,1,19,0,19,0,19,0,19,0,19,0,19,0,23,6,9,496,40,633,0,0,0,0,23,0,23,0,8,0,8,0,0,8,23
AL,0,8,105,34,54,25,17,107,"14,637",112,"10,307",112,296,107,19,109,56,107,0,107,6,107,"1,212",112,48,107,35,109,281,107,180,109,15,107,5,107,"1,555",112,0.7041743526678964,112,"10,307","14,637",0.029541357901061487,106,295,"9,986",0.02105789135555714,106,295,"14,009",0.032388663967611336,106,48,"1,482",0.7794212218649518,112,"1,212","1,555",2022/03/17,,0,109,2,109,0,109,1,109,3,109,4,109,3,109,6,109,0,109,0,107,1,107,2,107,8,107,13,107,14,107,8,107,10,107,0,107,4,107,"1,043",0,887,171,0,1,2,107,3,107,0,8,0,8,32,2,92,107
AR,1,80,13,18,74,2,1,92,"7,433",94,"5,342",94,204,92,11,94,32,92,0,91,0,91,634,94,57,92,53,94,204,92,167,94,0,92,0,92,856,94,0.7186869366339298,94,"5,342","7,433",0.03827392120075047,92,204,"5,330",0.02761982128350934,92,204,"7,386",0.06793802145411204,92,57,839,0.7406542056074766,94,634,856,2022/03/17,,0,92,1,85,1,85,1,84,2,84,2,84,2,84,2,84,0,94,1,90,0,83,4,83,3,82,7,82,4,82,11,82,2,82,0,92,0,42,277,88,427,0,0,0,7,92,8,92,0,39,0,39,47,1,39,92
AS,0,1,0,1,0,0,0,1,150,1,64,1,3,1,0,1,0,1,0,1,0,1,5,1,0,1,0,1,3,1,3,1,0,1,0,1,7,1,0.4266666666666667,1,64,150,0.046875,1,3,64,0.02,1,3,150,0,1,0,7,0.7142857142857143,1,5,7,2022/03/17,,0,1,,0,,0,,0,,0,,0,,0,,0,0,1,0,1,,0,,0,,0,,0,,0,,0,,0,0,1,,0,,,,,,,0,1,0,1,,0,,0,0,,0,1
AZ,0,52,50,6,69,27,9,99,"15,625",102,"11,204",102,515,99,51,102,78,99,0,99,3,99,"1,055",102,67,99,49,102,508,99,346,102,7,99,6,99,"1,725",102,0.717056,102,"11,204","15,625",0.04680541670453513,99,515,"11,003",0.03356579547676465,99,515,"15,343",0.04019196160767846,99,67,"1,667",0.6115942028985507,102,"1,055","1,725",2022/03/17,,0,102,3,95,3,95,6,95,5,95,7,94,17,95,10,95,0,102,0,99,9,92,13,92,5,92,6,92,15,91,19,92,11,92,0,99,2,36,"2,269",650,"1,867",25,0,10,8,99,9,99,0,35,0,35,58,3,35,99
CA,6,93,279,110,228,40,32,370,"62,124",378,"45,550",378,"2,096",370,153,378,253,370,8,367,16,369,"4,609",378,322,370,304,378,"2,026",370,"1,802",378,70,370,61,369,"6,657",378,0.7332109973601185,378,"45,550","62,124",0.04660056027391169,370,"2,096","44,978",0.03415794791564812,370,"2,096","61,362",0.049523223623500465,370,322,"6,502",0.6923539131741024,378,"4,609","6,657",2022/03/17,,2,377,21,374,14,374,16,374,19,374,23,374,27,373,31,374,0,376,2,369,27,366,26,365,27,366,34,366,42,366,52,366,42,366,1,370,11,107,"8,805",545,"3,357",305,0,0,2,370,4,370,0,340,1,340,42,2,340,370
CO,16,47,31,18,56,20,10,92,"10,490",94,"6,645",94,193,92,17,94,42,92,1,92,7,92,704,94,46,92,42,94,178,92,124,94,15,92,6,92,"1,230",94,0.6334604385128694,94,"6,645","10,490",0.029322394408994226,92,193,"6,582",0.01855412420688329,92,193,"10,402",0.03826955074875208,92,46,"1,202",0.5723577235772358,94,704,"1,230",2022/03/17,,0,94,2,82,3,82,2,82,3,82,1,82,3,82,3,82,0,94,0,92,5,80,3,80,2,80,7,80,8,80,12,80,4,80,1,92,1,45,"4,174",847,"1,798",0,16,1,3,92,13,92,0,40,0,40,25,0,40,92
CT,0,8,25,1,24,8,7,32,"7,588",33,"5,585",33,127,32,15,33,21,32,2,32,1,32,576,33,20,32,19,33,107,32,92,33,20,32,6,32,898,33,0.7360305745914602,33,"5,585","7,588",0.02290351668169522,32,127,"5,545",0.01693107585655246,32,127,"7,501",0.02280501710376283,32,20,877,0.6414253897550112,33,576,898,2022/03/17,,0,33,0,32,1,32,1,32,1,32,3,32,3,32,6,32,0,33,0,32,2,31,4,31,1,31,3,31,7,31,1,31,3,31,0,32,0,6,"2,402",0,"1,739",0,0,0,3,32,8,32,0,6,0,6,20,0,6,32
DC,0,0,14,0,12,2,2,13,"3,372",14,"2,594",14,89,13,1,14,34,13,0,13,0,13,238,14,10,13,8,14,83,13,54,14,6,13,5,13,328,14,0.769276393831554,14,"2,594","3,372",0.0354158376442499,13,89,"2,513",0.02747761654831738,13,89,"3,239",0.03257328990228013,13,10,307,0.725609756097561,14,238,328,2022/03/17,,0,14,0,14,0,14,0,14,0,14,0,14,0,14,1,14,0,14,0,13,5,13,11,13,6,13,3,13,1,13,5,13,3,13,0,13,1,13,304,258,224,27,0,0,1,12,0,12,0,1,0,1,2,0,1,12
DE,1,8,2,4,6,1,0,10,"2,602",11,"3,073",11,97,10,8,11,30,10,0,10,0,10,227,11,9,10,8,11,94,10,33,11,3,10,1,10,187,11,1.1810146041506533,11,"3,073","2,602",0.0317824377457405,10,97,"3,052",0.0377431906614786,10,97,"2,570",0.049723756906077346,10,9,181,1.213903743315508,11,227,187,2022/03/17,,0,11,1,11,1,11,0,11,2,11,2,11,1,11,1,11,0,11,0,10,4,10,2,10,0,10,4,10,7,10,6,10,7,10,0,10,0,4,482,0,435,0,0,0,0,10,0,10,0,4,0,4,7,0,4,10
FL,6,161,72,35,143,61,95,233,"56,344",239,"42,871",239,"1,355",233,110,239,184,233,6,233,19,233,"4,586",239,196,233,174,239,"1,300",233,"1,001",239,55,233,20,233,"6,528",239,0.7608795967627432,239,"42,871","56,344",0.03205734834863253,233,"1,355","42,268",0.02443422594896763,233,"1,355","55,455",0.030798240100565682,233,196,"6,364",0.7025122549019608,239,"4,586","6,528",2022/03/17,,2,238,7,227,6,227,12,227,4,228,18,228,20,227,39,228,2,239,3,231,13,222,20,223,20,223,27,221,31,222,31,223,34,222,5,233,18,134,"4,071",53,"3,641","1,211",238,318,9,233,10,233,0,126,0,126,71,0,126,233
GA,30,96,30,36,91,29,13,153,"19,807",156,"15,290",156,733,153,83,156,31,152,0,77,0,77,"1,844",156,150,153,104,156,706,153,437,156,27,153,18,153,"2,481",156,0.7719493108496996,156,"15,290","19,807",0.048565560193467174,153,733,"15,093",0.03754738244032374,153,733,"19,522",0.06172839506172839,153,150,"2,430",0.7432486900443369,156,"1,844","2,481",2022/03/17,,1,155,24,152,3,150,2,150,17,150,10,150,7,150,8,73,11,156,0,153,0,149,4,147,3,148,1,148,10,148,8,146,2,70,1,153,4,110,"3,568","2,623","4,515",43,0,12,16,153,3,153,0,115,0,115,52,1,115,153
HI,3,16,5,3,17,4,0,24,"2,491",24,"1,858",24,50,24,1,24,8,24,1,24,5,24,118,24,6,24,5,24,41,24,35,24,9,24,3,24,209,24,0.7458851866720193,24,"1,858","2,491",0.02691065662002153,24,50,"1,858",0.02007226013649137,24,50,"2,491",0.028708133971291867,24,6,209,0.5645933014354066,24,118,209,2022/03/17,,0,24,0,20,0,20,0,20,0,20,0,20,1,20,0,20,0,24,0,24,0,20,0,20,1,20,3,20,0,20,3,20,1,20,0,24,0,11,243,0,2,0,0,15,0,24,0,24,0,11,0,11,1,0,11,24
WV,0,9,54,27,32,4,2,59,"5,759",63,"4,543",63,249,59,12,63,34,59,1,59,2,59,502,63,65,59,65,63,245,59,212,63,4,59,3,59,643,63,0.7888522312901546,63,"4,543","5,759",0.055829596412556054,59,249,"4,460",0.0444087747458534,59,249,"5,607",0.10833333333333334,59,65,600,0.7807153965785381,63,502,643,2022/03/17,,0,63,0,62,1,62,1,62,2,62,2,62,6,62,0,62,0,63,0,59,0,58,1,58,9,58,3,58,9,58,3,58,9,58,0,59,0,7,0,0,31,0,0,0,4,59,2,59,0,7,0,7,40,0,7,59
WY,0,1,28,5,19,5,0,27,"1,567",29,667,29,17,27,3,29,3,27,0,27,0,27,42,29,3,27,3,29,17,27,17,29,0,27,0,27,126,29,0.42565411614550097,29,667,"1,567",0.026113671274961597,27,17,651,0.011074918566775244,27,17,"1,535",0.024793388429752067,27,3,121,0.3333333333333333,29,42,126,2022/03/17,,0,29,0,29,0,29,1,29,0,29,0,29,1,29,1,29,0,29,0,27,0,27,0,27,0,27,0,27,1,27,0,27,2,27,0,27,0,23,733,,739,20,,0,0,27,0,27,,0,0,23,2,,0,27
